scenario,n_seeds,total_rounds,final_pr_auc,final_pr_auc_std,final_f1,final_f1_std,avg_noise_proxy_sigma_over_delta,avg_noise_proxy_std,observed_relative_decryption_error,mean_aggregate_relative_error,max_aggregate_relative_error,max_aggregate_abs_error,aggregate_fidelity_checks,aggregate_fidelity_failures,aggregate_fidelity_status,energy_estimation_method,energy_measurement_method,energy_measurement_status,energy_is_hardware_measured,energy_complete_seed_count,security_status,result_category,reporting_group,claim_scope,implementation_status,crypto_backend,xmk_decryption_policy,total_comm_kb,avg_comm_per_seed_kb,avg_comm_per_round_kb,avg_crypto_operation_ms_per_round,avg_cumulative_session_key_processing_ms_per_seed,avg_one_time_enrollment_setup_ms_per_seed,avg_end_to_end_runtime_including_setup_s_per_seed,crypto_timing_method,total_energy_uj,avg_energy_per_seed_uj,avg_rounds,execution_time_s
B0_Plain_FL,5,100,0.7279804823042562,0.00018881973732133103,0.7196652719665272,0.0,,0.0,,0.0,0.0,0.0,100,0,PASSED,not_reported_without_direct_hardware_energy_instrumentation,not_reported,unavailable_or_incomplete_direct_measurement__not_aggregated,False,0,comparative_protocol_experiment,comparative_experiment,main_comparative,Comparative federated-learning and protocol-enforcement experiment.,plain_or_protocol_control,custom_reference_python_prototype,not_applicable,960.0,192.0,9.6,0.0,0.0,0.0,20.69554165319996,measured_time_perf_counter_actual_reference_python_operations,,,20.0,103.55494689941406
B1_xMK_CKKS,5,100,0.7279804971022024,0.00018882180572321773,0.7196652719665272,0.0,2.910383045673371e-12,0.0,,3.322203340273786e-05,0.00022791543068339916,4.031007245696924e-07,100,0,PASSED,not_reported_without_direct_hardware_energy_instrumentation,not_reported,unavailable_or_incomplete_direct_measurement__not_aggregated,False,0,custom_xmk_reference_prototype,comparative_experiment,main_comparative,Custom xMK reference prototype with all-participant collaborative decryption; not a t-of-n threshold-CKKS security claim.,custom_xmk_reference_python,custom_reference_python_prototype,all_participants,114688.0,22937.6,1146.88,10781.913973800047,0.0,3963.9796124000436,240.05677696620032,measured_time_perf_counter_actual_reference_python_operations,,,20.0,1200.3667125701904
A1_TADP_admission_only,5,100,0.7267126562931212,0.0003096003280642582,0.7185702277511246,0.0025686278750855153,,0.0,,0.0,0.0,0.0,100,0,PASSED,not_reported_without_direct_hardware_energy_instrumentation,not_reported,unavailable_or_incomplete_direct_measurement__not_aggregated,False,0,tadp_admission_only_ablation,comparative_experiment,main_comparative,TADP admission-only ablation: uses the fixed TADP-admitted cohort with plain FedAvg and deliberately bypasses TADP-Sec runtime signing/freshness/PoFC and encrypted aggregation.,tadp_admission_only_plain_fedavg,custom_reference_python_prototype,not_applicable,576.0,115.2,5.76,0.0,0.0,0.0,10.942490770399582,measured_time_perf_counter_actual_reference_python_operations,,,20.0,54.77898335456848
T1_Plain_TADP,5,100,0.7267126562931212,0.0003096003280642582,0.7185702277511246,0.0025686278750855153,,0.0,,0.0,0.0,0.0,100,0,PASSED,not_reported_without_direct_hardware_energy_instrumentation,not_reported,unavailable_or_incomplete_direct_measurement__not_aggregated,False,0,comparative_protocol_experiment,comparative_experiment,main_comparative,Comparative federated-learning and protocol-enforcement experiment.,plain_or_protocol_control,custom_reference_python_prototype,not_applicable,576.0,115.2,5.76,0.0,0.0,0.0,20.312529616600386,measured_time_perf_counter_actual_reference_python_operations,,,20.0,102.2050518989563
T1_TEST_SIGNATURE_ATTACK,3,3,0.6939635347384293,0.009693434360542891,0.5589732098791546,0.13978517291219894,,0.0,,0.0,0.0,0.0,3,0,PASSED,not_reported_without_direct_hardware_energy_instrumentation,not_reported,unavailable_or_incomplete_direct_measurement__not_aggregated,False,0,comparative_protocol_experiment,protocol_enforcement_test,protocol_enforcement_test,Protocol-enforcement signature-forgery test; not a normal-learning comparison.,plain_or_protocol_control,custom_reference_python_prototype,not_applicable,14.4,4.8,4.8,0.0,0.0,0.0,0.8677900406664776,measured_time_perf_counter_actual_reference_python_operations,,,1.0,2.945754289627075
T2_DF_KS_TADP,5,100,0.7267126612212385,0.0003096023281217632,0.7185702277511246,0.0025686278750855153,,0.0,,3.7038728117151546e-05,0.00011922310142279827,9.635252739559341e-07,100,0,PASSED,not_reported_without_direct_hardware_energy_instrumentation,not_reported,unavailable_or_incomplete_direct_measurement__not_aggregated,False,0,custom_DF_KS_research_prototype,comparative_experiment,main_comparative,Modified Domingo-Ferrer plus matrix key-switching research prototype; not standard CKKS/RLWE.,custom_DF_KS_reference_python,custom_reference_python_prototype,not_applicable,90288.0,18057.6,902.88,4700.903728840053,0.0,0.0,114.88899942060088,measured_time_perf_counter_actual_reference_python_operations,,,20.0,575.0406322479248
T2_TEST_REPLAY_ATTACK,3,3,0.7011721024346457,0.005902402469324805,0.5852489500846201,0.20829889504712262,,0.0,,2.3755026323376436e-06,2.6622272665937694e-06,3.4330357600448336e-07,3,0,PASSED,not_reported_without_direct_hardware_energy_instrumentation,not_reported,unavailable_or_incomplete_direct_measurement__not_aggregated,False,0,custom_DF_KS_research_prototype,protocol_enforcement_test,protocol_enforcement_test,Protocol-enforcement replay test using the Modified Domingo-Ferrer plus matrix-key-switching research prototype; not a normal-learning comparison.,custom_DF_KS_reference_python,custom_reference_python_prototype,not_applicable,2482.92,827.64,827.64,4186.119311332732,0.0,0.0,5.216047382000245,measured_time_perf_counter_actual_reference_python_operations,,,1.0,16.02137303352356
T3_XMK_CKKS_TADP,5,100,0.7267126553308534,0.00030960063688847934,0.7185702277511246,0.0025686278750855153,2.910383045673371e-12,0.0,,1.7810912231183672e-05,7.029923393926291e-05,2.781041547660155e-07,100,0,PASSED,not_reported_without_direct_hardware_energy_instrumentation,not_reported,unavailable_or_incomplete_direct_measurement__not_aggregated,False,0,custom_xmk_reference_prototype,comparative_experiment,main_comparative,Custom xMK reference prototype with all-participant collaborative decryption; not a t-of-n threshold-CKKS security claim.,custom_xmk_reference_python,custom_reference_python_prototype,all_participants,68812.8,13762.56,688.128,6368.110104599873,0.0,2117.188153400093,150.27473100720044,measured_time_perf_counter_actual_reference_python_operations,,,20.0,751.9572236537933
T3_TEST_POFC_ATTACK,3,3,0.6940080770613112,0.009625070148982553,0.5589732098791546,0.13978517291219894,2.910383045673371e-12,4.946705141303094e-28,,8.827234181641412e-07,9.88789745247352e-07,1.1945582168641604e-07,3,0,PASSED,not_reported_without_direct_hardware_energy_instrumentation,not_reported,unavailable_or_incomplete_direct_measurement__not_aggregated,False,0,custom_xmk_reference_prototype,protocol_enforcement_test,protocol_enforcement_test,Protocol-enforcement test using custom xMK reference code with all-participant collaborative decryption; not a normal-learning performance comparison.,custom_xmk_reference_python,custom_reference_python_prototype,all_participants,1548.288,516.096,516.096,4968.551270332985,1515.1022249995851,0.0,7.410243765666867,measured_time_perf_counter_actual_reference_python_operations,,,1.0,22.553872108459473
T4_SAMK_TADP,3,9,0.7217635227598498,0.001022829253923143,0.7218966532897383,0.02086251555114934,,0.0,2.062537112071099e-05,2.062537112071099e-05,2.3874798131067315e-05,4.2366124879504585e-06,9,0,PASSED,not_reported_without_direct_hardware_energy_instrumentation,not_reported,unavailable_or_incomplete_direct_measurement__not_aggregated,False,0,published_SAMK_flow_reference_prototype,feasibility_prototype,feasibility_prototype,"Algorithmic reference implementation of SAMK using BFV, Paillier, and polynomial interpolation under the published honest-but-curious, no-server-client-collusion threat model. The advisor-sized profile uses BFV N=2048 with a 54-bit coefficient modulus and a 3072-bit Paillier modulus target. These parameter sizes target conventional 128-bit-classical security conventions, but the custom Python implementation is not a certified SEAL/OpenFHE deployment or an optimized production performance benchmark.",role_separated_SAMK_BFV_Paillier_reference_python,custom_reference_python_prototype,not_applicable,177273.288,59091.096,19697.032,1125611.3366720006,0.0,120771.5929716669,3501.000325270999,measured_time_perf_counter_actual_reference_python_operations,,,3.0,10503.455563545227
