scenario,n_seeds,acc_mean,acc_std,acc_ci95_low,acc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,f1_mean,f1_std,mcc_mean,mcc_std,crypto_ms_mean,crypto_ms_std,effective_clients_mean,effective_clients_std,total_traffic_kb_mean,acc_ci_n,acc_ci_mean,acc_ci_std,pr_auc_ci_mean,pr_auc_ci_std
A1_TADP_admission_only,5,0.9988448439310418,1.4688038104951671e-05,0.9988266063229226,0.9988630815391609,0.7267126562931212,0.0003096003280642761,0.7263282367119317,0.7270970758743107,0.7185702277511246,0.0025686278750855097,0.7276187911165648,0.0022454432255372,0.0,0.0,12.0,0.0,5.76,5,0.9988448439310418,1.468803810494946e-05,0.7267126562931212,0.0003096003280642582
B0_Plain_FL,5,0.9988237772550121,0.0,0.9988237772550121,0.9988237772550121,0.7279804823042562,0.00018881973732135968,0.727746031634274,0.7282149329742383,0.7196652719665272,0.0,0.7310737472020886,0.0,0.0,0.0,20.0,0.0,9.6,5,0.9988237772550121,0.0,0.7279804823042562,0.00018881973732133103
B1_xMK_CKKS,5,0.9988237772550121,0.0,0.9988237772550121,0.9988237772550121,0.7279804971022024,0.0001888218057231866,0.72774604386396,0.7282149503404447,0.7196652719665272,0.0,0.7310737472020886,0.0,614.2417096800203,178.00093441987113,20.0,0.0,1146.88,5,0.9988237772550121,0.0,0.7279804971022024,0.00018882180572321773
T1_Plain_TADP,5,0.9988448439310418,1.4688038104951671e-05,0.9988266063229226,0.9988630815391609,0.7267126562931212,0.0003096003280642761,0.7263282367119317,0.7270970758743107,0.7185702277511246,0.0025686278750855097,0.7276187911165648,0.0022454432255372,0.0,0.0,12.0,0.0,5.76,5,0.9988448439310418,1.468803810494946e-05,0.7267126562931212,0.0003096003280642582
T1_TEST_SIGNATURE_ATTACK,3,0.9974954062942546,0.0013457611354585704,0.9941523503066955,1.0008384622818138,0.6939635347384293,0.009693434360542945,0.6698837088873266,0.718043360589532,0.5589732098791546,0.13978517291219894,0.5948163867174158,0.11321544566199829,0.0,0.0,10.0,0.0,4.8,3,0.9974954062942546,0.0013457611354585693,0.6939635347384293,0.009693434360542891
T2_DF_KS_TADP,5,0.9988448439310418,1.4688038104951671e-05,0.9988266063229226,0.9988630815391609,0.7267126612212386,0.00030960232812177424,0.7263282391566496,0.7270970832858273,0.7185702277511246,0.0025686278750855097,0.7276187911165648,0.0022454432255372,390.593746483349,64.84357086460038,12.0,0.0,902.88,5,0.9988448439310418,1.468803810494946e-05,0.7267126612212385,0.0003096023281217632
T2_TEST_REPLAY_ATTACK,3,0.9974017766230118,0.002247729212867324,0.9918181077195943,1.002985445526429,0.7011721024346457,0.005902402469324834,0.6865097218708494,0.715834482998442,0.5852489500846201,0.2082988950471226,0.6204032670856129,0.16923195931077703,380.55630103024833,53.16055055319719,11.0,0.0,827.64,3,0.9974017766230118,0.0022477292128673197,0.7011721024346457,0.005902402469324805
T3_TEST_POFC_ATTACK,3,0.9974954062942546,0.0013457611354585704,0.9941523503066955,1.0008384622818138,0.694008077061311,0.009625070148982525,0.6700980773262776,0.7179180767963448,0.5589732098791546,0.13978517291219894,0.5948163867174158,0.11321544566199829,552.0612522592206,55.363153995011785,9.0,0.0,516.096,3,0.9974954062942546,0.0013457611354585693,0.6940080770613112,0.009625070148982553
T3_XMK_CKKS_TADP,5,0.9988448439310418,1.4688038104951671e-05,0.9988266063229226,0.9988630815391609,0.7267126553308534,0.0003096006368884843,0.726328235366208,0.7270970752954987,0.7185702277511246,0.0025686278750855097,0.7276187911165648,0.0022454432255372,485.96340819997295,3.2927514122635353,12.0,0.0,688.128,5,0.9988448439310418,1.468803810494946e-05,0.7267126553308534,0.00030960063688847934
T4_SAMK_TADP,3,0.9988530365272755,0.00011149280153587138,0.998576073054395,0.9991300000001561,0.7217635227598498,0.001022829253923141,0.7192226740375294,0.7243043714821702,0.7218966532897383,0.02086251555114934,0.7314260773521047,0.019022873894827423,92738.14508950006,405.3893083363825,12.0,0.0,19697.0,3,0.9988530365272755,0.00011149280153587138,0.7217635227598498,0.001022829253923143
T4_TEST_DROPOUT,3,0.9973608136418431,0.0024785280668631927,0.9912038086013928,1.0035178186822935,0.7013492511967087,0.007718772289378539,0.6821747578644876,0.7205237445289298,0.5913594420862839,0.22779386546051586,0.6260518310463895,0.1873465644001657,94471.81221106644,235.34763419867596,10.0,0.0,16411.84,3,0.9973608136418431,0.002478528066863234,0.7013492511967087,0.007718772289378549
